,ST,ST_conf
"(0, 1)",0.10765152719370721,0.07392754775691317
"(0, 2)",0.09215390854397212,0.07997591461654369
"(0, 3)",0.25078744493007876,0.5254541351995365
"(0, 4)",0.11987680047807546,0.07986935030769322
"(0, 5)",0.015442533271160993,0.029225273644066987
"(1, -5)",0.08780649378535377,0.12439323670307019
"(1, -4)",0.09831076599181646,0.0846735756647692
"(1, -3)",0.10097434780056133,0.06957148705014608
"(1, -2)",0.07497803736290969,0.04432811916214876
"(1, -1)",0.14825257622969878,0.10348954974859029
"(1, 0)",0.16772119574578728,0.24278006948396577
"(1, 1)",0.5215412730378708,1.1055250092341296
"(1, 2)",0.13611198744091746,0.12233735755291651
"(1, 3)",0.16401019156795002,0.22943224811656762
"(1, 4)",0.09224286714646705,0.08299118211924239
"(1, 5)",0.08517693361411033,0.06498107601032835
"(2, -5)",0.021969683843120737,0.05023157073436025
"(2, -4)",0.059297028532083164,0.06382775523213653
"(2, -3)",0.14088471390162605,0.09707340230162372
"(2, -2)",0.06797777559774879,0.047921202986916094
"(2, -1)",0.11258821672896524,0.147501661273304
"(2, 0)",0.17843582401561037,0.10836350752356248
"(2, 1)",0.10114768209205388,0.0869480116447391
"(2, 2)",0.01737347296203274,0.028851212355332254
"(2, 3)",0.19795757956025578,0.11020773429920364
"(2, 4)",0.07550958865273659,0.07787286138154623
"(2, 5)",0.1810098017468644,0.3595245428147736
"(3, -5)",0.1293046565111908,0.06524454930711396
"(3, -4)",0.1313071531803089,0.1524025886104347
"(3, -3)",0.07227449344209501,0.05441789795752276
"(3, -2)",0.12076524746693298,0.07968382155207364
"(3, -1)",0.18497289802303055,0.11366850508925691
"(3, 0)",0.125566965950678,0.07578053542253545
"(3, 1)",0.10898765375998354,0.04754544839002431
"(3, 2)",0.10784424583759412,0.06988685827572172
"(3, 3)",0.10434961794419158,0.09761987738056496
"(3, 4)",0.2419651164414484,0.19964328250204535
"(3, 5)",0.05668211792816978,0.05913925329161004
"(4, -5)",0.189534674304814,0.35177836329436846
"(4, -4)",0.14174824555038307,0.31957785896640173
"(4, -3)",0.07123333327530493,0.12165150183495718
"(4, -2)",0.3455858570401872,0.7430162500004697
"(4, -1)",0.09827325261420014,0.06897360420249632
"(4, 0)",0.12681176097103508,0.12972564841750808
"(4, 1)",0.08169293236979884,0.06265463735567552
"(4, 2)",0.11726153967567332,0.1458953896950964
"(4, 3)",0.11535002529872093,0.09386679669110973
"(4, 4)",0.1253583988022872,0.24589428793020676
"(4, 5)",0.023989217393602068,0.04177640198748102
