,S2,S2_conf
"('(0, 2)', '(4, 3)')",0.34579629360555575,0.4702558961718935
"('(0, 2)', '(4, 4)')",0.2936381236170104,0.30983367974777737
"('(0, 2)', '(4, 5)')",0.37945719793048743,0.5669270426252861
"('(0, 3)', '(0, 4)')",0.12308052123521429,0.5331996345614295
"('(0, 3)', '(0, 5)')",-0.015558720029892462,0.4189398664722146
"('(0, 3)', '(1, -5)')",-0.030190469711158026,0.5280616095760357
"('(0, 3)', '(1, -4)')",0.07759357771594777,0.4602637429454661
"('(0, 3)', '(1, -3)')",0.1576733889777274,0.5570989937745842
"('(0, 3)', '(1, -2)')",0.023236933688524364,0.5066328864039951
"('(0, 3)', '(1, -1)')",0.1434101256822553,0.6198015704555636
"('(0, 3)', '(1, 0)')",0.03149012108708693,0.6002980193042755
"('(0, 3)', '(1, 1)')",0.015653558869317172,0.5901530461803438
"('(0, 3)', '(1, 2)')",0.030864450464900127,0.6049621360814492
"('(0, 3)', '(1, 3)')",0.02573197034686618,0.5963726713802525
"('(0, 3)', '(1, 4)')",0.06898605214312173,0.5076816428370167
"('(0, 3)', '(1, 5)')",0.1472257800552249,0.5725996565337375
"('(0, 3)', '(2, -5)')",0.023728316984732725,0.42761827125143076
"('(0, 3)', '(2, -4)')",0.06379023493570635,0.5249772005648848
"('(0, 3)', '(2, -3)')",0.04219377716873804,0.5766294725839995
"('(0, 3)', '(2, -2)')",0.1285597192663481,0.5452501543790448
"('(0, 3)', '(2, -1)')",0.011477043691437788,0.5648397725191462
"('(0, 3)', '(2, 0)')",0.11902465769541987,0.5822560369071257
"('(0, 3)', '(2, 1)')",0.11073674850080836,0.5903875688597972
"('(0, 3)', '(2, 2)')",-0.06590768954199086,0.5099892406634617
"('(0, 3)', '(2, 3)')",0.15950554786445026,0.5348340793492082
"('(0, 3)', '(2, 4)')",0.10166139677761465,0.5193463464957107
"('(0, 3)', '(2, 5)')",0.06098565043363452,0.5066470908450039
"('(0, 3)', '(3, -5)')",0.07923131225047839,0.5710639036956625
"('(0, 3)', '(3, -4)')",0.03650706943875431,0.5481323810699563
"('(0, 3)', '(3, -3)')",0.13121745170061705,0.5215549103034807
"('(0, 3)', '(3, -2)')",0.09160544596727918,0.575610355223348
"('(0, 3)', '(3, -1)')",0.19663745597086663,0.5397388782801503
"('(0, 3)', '(3, 0)')",0.12506007254468393,0.5622627695350784
"('(0, 3)', '(3, 1)')",0.12323651301939376,0.5716441318995181
"('(0, 3)', '(3, 2)')",0.0996453478241471,0.5911141645873295
"('(0, 3)', '(3, 3)')",0.07085060091068318,0.6415286537338534
"('(0, 3)', '(3, 4)')",0.08922026445800096,0.5964448271829492
"('(0, 3)', '(3, 5)')",0.05278935430422073,0.5133276096374889
"('(0, 3)', '(4, -5)')",0.01075511307839432,0.5486586327573448
"('(0, 3)', '(4, -4)')",0.04069537373537062,0.6557955924161087
"('(0, 3)', '(4, -3)')",-0.007424019907898924,0.4008998231462789
"('(0, 3)', '(4, -2)')",-0.12653946301321628,0.5404859696842715
"('(0, 3)', '(4, -1)')",0.09015905225923143,0.5970283911914719
"('(0, 3)', '(4, 0)')",0.13242777792808316,0.5410421798740684
"('(0, 3)', '(4, 1)')",0.05086439188138462,0.49801607463232217
"('(0, 3)', '(4, 2)')",0.09259645346989417,0.4521963076535184
"('(0, 3)', '(4, 3)')",0.1584273895841677,0.5611765681593955
"('(0, 3)', '(4, 4)')",0.029617950213527488,0.4798353241016597
"('(0, 3)', '(4, 5)')",-0.033558943630445065,0.46699621801009533
"('(0, 4)', '(0, 5)')",0.13917042925725748,0.6113565118278914
"('(0, 4)', '(1, -5)')",0.08239352063638432,0.7303046163455849
"('(0, 4)', '(1, -4)')",0.17040202710626745,0.5605362581458075
"('(0, 4)', '(1, -3)')",0.21989845836714655,0.5219682652374743
"('(0, 4)', '(1, -2)')",0.1435135198011466,0.6344628682883914
"('(0, 4)', '(1, -1)')",0.11372011564126056,0.6609798286053877
"('(0, 4)', '(1, 0)')",0.1633745553951161,0.6097202402901861
"('(0, 4)', '(1, 1)')",0.18935381436410373,0.5860901830658807
"('(0, 4)', '(1, 2)')",0.1672031448387965,0.5676682099746623
"('(0, 4)', '(1, 3)')",0.102814135922549,0.7552839543507806
"('(0, 4)', '(1, 4)')",0.12892436855164607,0.6590977357708269
"('(0, 4)', '(1, 5)')",0.2083157654225971,0.5349024412936838
"('(0, 4)', '(2, -5)')",0.17387929130503,0.5487736818100731
"('(0, 4)', '(2, -4)')",0.18788905285881155,0.5478213708222638
"('(0, 4)', '(2, -3)')",0.09945518495521422,0.7179579653777349
"('(0, 4)', '(2, -2)')",0.19044177383367594,0.5603294178916369
"('(0, 4)', '(2, -1)')",0.06987479465404225,0.8437101422909256
"('(0, 4)', '(2, 0)')",0.11721393966574273,0.7017875394829767
"('(0, 4)', '(2, 1)')",0.13168845525783168,0.6726902369707938
"('(0, 4)', '(2, 2)')",0.06520505855507422,0.7808125468472864
"('(0, 4)', '(2, 3)')",0.17515202951914938,0.5899440619213463
"('(0, 4)', '(2, 4)')",0.17280653649432653,0.6144147675832953
"('(0, 4)', '(2, 5)')",0.04955503500988245,0.8308933447066531
