,S1,S1_conf
"(0, 1)",-0.19486521080932845,0.6318262020380953
"(0, 2)",-0.13079129917066262,0.4748191815335204
"(0, 3)",-0.06112506080398337,0.48018317551857426
"(0, 4)",-0.28179858135775554,0.4523207975419238
"(0, 5)",0.12298090686953982,0.24648155545666692
"(1, -5)",0.01849214177444343,0.28814330200055155
"(1, -4)",-0.20520846026071332,0.35046765729764606
"(1, -3)",-0.30757801520964767,0.5818185251666305
"(1, -2)",0.003612082974142388,0.2900622019182492
"(1, -1)",-0.4486619034741808,0.6021881207735422
"(1, 0)",-0.12344714511068422,0.6237630336117799
"(1, 1)",-0.054907574681426534,0.8466776381388296
"(1, 2)",-0.08038047538831508,0.4661489343074449
"(1, 3)",-0.09786591508303281,0.6431480432658834
"(1, 4)",-0.17305774567673554,0.3807482577671269
"(1, 5)",-0.29415578429232003,0.6313900045619759
"(2, -5)",0.03537377264851173,0.1184030760406697
"(2, -4)",-0.07245034874929249,0.3601472596553812
"(2, -3)",-0.16389519234205163,0.3310233054293522
"(2, -2)",-0.27777527834018706,0.5076969562046937
"(2, -1)",-0.02931733360119377,0.4067651730045876
"(2, 0)",-0.441557186186309,0.5290240046247984
"(2, 1)",-0.2787693022214356,0.45368579091933964
"(2, 2)",0.19896689803132053,0.19938211961951277
"(2, 3)",-0.5033358825940178,0.46698271144107684
"(2, 4)",-0.1753647258040285,0.39633857309529347
"(2, 5)",-0.19175318360374083,0.36099827047951105
"(3, -5)",-0.12250161713424956,0.554149079491626
"(3, -4)",-0.03914062794428087,0.4939001532642317
"(3, -3)",-0.23268962283777747,0.5609864013293177
"(3, -2)",-0.26859250386996947,0.35025382832641966
"(3, -1)",-0.49079933298057626,0.5787373151272337
"(3, 0)",-0.2846875069922533,0.6431424760681246
"(3, 1)",-0.2831243149660934,0.4834651523185342
"(3, 2)",-0.2473043314748759,0.5670672975714304
"(3, 3)",-0.2213726737872507,0.47054359273525764
"(3, 4)",-0.15357755475255272,0.8118984687560856
"(3, 5)",-0.019311969800593465,0.3611004087737758
"(4, -5)",0.010771394850202684,0.5750647109848877
"(4, -4)",-0.028117167313140293,0.5108390613846636
"(4, -3)",0.0001185238654860155,0.3982751277277044
"(4, -2)",0.29694782878055803,0.41510347683946064
"(4, -1)",-0.19970060180187124,0.6415061004291037
"(4, 0)",-0.3414159058482122,0.38099350625100126
"(4, 1)",-0.09657188318626805,0.21185705597448817
"(4, 2)",-0.2342822739565844,0.45926470427653227
"(4, 3)",-0.4106032102526741,0.4640088799268908
"(4, 4)",-0.005081689260264959,0.4128714677632024
"(4, 5)",0.16692548594021278,0.184069561602603
