,S2,S2_conf
"('C(0, 3)', 'C(4, -3)')",-0.12911101922152574,0.46826337273344165
"('C(0, 3)', 'C(4, -2)')",-0.2468544228998404,0.391641097726675
"('C(0, 3)', 'C(4, -1)')",-0.6628461079630519,0.7036643594724444
"('C(0, 3)', 'C(4, 0)')",-0.06977835942943147,0.440387705335785
"('C(0, 3)', 'C(4, 1)')",-0.16162773673955283,0.4736005054907405
"('C(0, 3)', 'C(4, 2)')",-0.1494998249975666,0.4681674863592845
"('C(0, 3)', 'C(4, 3)')",-0.23458532572001753,0.4229186601543433
"('C(1, -3)', 'C(1, -2)')",-0.28071441099494115,0.5769550194259879
"('C(1, -3)', 'C(1, -1)')",-0.396803725293135,0.5709174327062692
"('C(1, -3)', 'C(1, 0)')",-0.26340505673039843,0.4340517524596489
"('C(1, -3)', 'C(1, 1)')",-0.22313633507705266,0.5385801225523489
"('C(1, -3)', 'C(1, 2)')",-0.22646818642506433,0.4223141944727981
"('C(1, -3)', 'C(1, 3)')",-0.15354295051757846,0.5567871813451177
"('C(1, -3)', 'C(2, -3)')",-0.1783129596772345,0.4790706274363364
"('C(1, -3)', 'C(2, -2)')",-0.21453915541454838,0.4944511125814645
"('C(1, -3)', 'C(2, -1)')",-0.0945685495447594,0.4858392103806069
"('C(1, -3)', 'C(2, 0)')",0.13203854461251008,0.3759852741778677
"('C(1, -3)', 'C(2, 1)')",-0.48799628439292186,0.5099781771331516
"('C(1, -3)', 'C(2, 2)')",-0.42749250593524973,0.5567884849499831
"('C(1, -3)', 'C(2, 3)')",0.011835885031972887,0.4491343014149334
"('C(1, -3)', 'C(3, -3)')",0.2505348091138186,0.5032167360309315
"('C(1, -3)', 'C(3, -2)')",-0.07534837960891057,0.5216860968746565
"('C(1, -3)', 'C(3, -1)')",-0.33675717552979617,0.4537449382334509
"('C(1, -3)', 'C(3, 0)')",-0.8535898206773416,1.3105295304196778
"('C(1, -3)', 'C(3, 1)')",-0.3793016784528082,0.5784282405583888
"('C(1, -3)', 'C(3, 2)')",-0.2664409271057201,0.7765577069367781
"('C(1, -3)', 'C(3, 3)')",-0.38871300588167634,0.460675152408092
"('C(1, -3)', 'C(4, -3)')",-0.05291699463412517,0.47662366189009003
"('C(1, -3)', 'C(4, -2)')",-0.1695551426873037,0.5501270729792732
"('C(1, -3)', 'C(4, -1)')",-0.6862078507548858,0.8239598618133914
"('C(1, -3)', 'C(4, 0)')",0.09248612472022226,0.4568717313214959
"('C(1, -3)', 'C(4, 1)')",-0.18109180120020457,0.5203077201014972
"('C(1, -3)', 'C(4, 2)')",-0.07034597677882154,0.4741792424458605
"('C(1, -3)', 'C(4, 3)')",-0.12376780013803539,0.47403042469295503
"('C(1, -2)', 'C(1, -1)')",-0.5498376359364736,0.4541073335247108
"('C(1, -2)', 'C(1, 0)')",-0.24007724130550995,0.428940068819387
"('C(1, -2)', 'C(1, 1)')",-0.44437122142461205,0.41729181479443456
"('C(1, -2)', 'C(1, 2)')",-0.30685363277391586,0.43165158254951436
"('C(1, -2)', 'C(1, 3)')",-0.16994075935991296,0.5613911082514211
"('C(1, -2)', 'C(2, -3)')",-0.2485560245221046,0.583695013439201
"('C(1, -2)', 'C(2, -2)')",-0.11438705026179138,0.5674398801988596
"('C(1, -2)', 'C(2, -1)')",-0.028446608330361778,0.5605065848202386
"('C(1, -2)', 'C(2, 0)')",-0.19044723748272377,0.4986589830606248
"('C(1, -2)', 'C(2, 1)')",-0.5003259546500145,0.4042214659272886
"('C(1, -2)', 'C(2, 2)')",-0.5568820162043074,0.44647522750193214
"('C(1, -2)', 'C(2, 3)')",-0.3760764477489065,0.5865239218086432
"('C(1, -2)', 'C(3, -3)')",-0.32404195050972506,0.8039878196793353
"('C(1, -2)', 'C(3, -2)')",-0.47110658335988054,0.4714689494311198
"('C(1, -2)', 'C(3, -1)')",-0.5112798873838108,0.5652178760382816
"('C(1, -2)', 'C(3, 0)')",-0.8634142648521317,0.9839845497480845
"('C(1, -2)', 'C(3, 1)')",-0.31307780536874275,0.4803019909840606
"('C(1, -2)', 'C(3, 2)')",-0.6001482562576907,0.5378029003180588
"('C(1, -2)', 'C(3, 3)')",-0.29631539397869294,0.6572335703231974
"('C(1, -2)', 'C(4, -3)')",-0.2658943833813324,0.8267889331725062
"('C(1, -2)', 'C(4, -2)')",-0.6279528464849193,0.5987044738124631
"('C(1, -2)', 'C(4, -1)')",-0.2710041299504279,0.9641654555510577
"('C(1, -2)', 'C(4, 0)')",-0.39788268216907763,0.5212874157752256
"('C(1, -2)', 'C(4, 1)')",-0.08602893876301457,0.7699501251755234
"('C(1, -2)', 'C(4, 2)')",-0.366636360150612,0.5019516451578047
"('C(1, -2)', 'C(4, 3)')",-0.4094103802698927,0.6744392511617695
"('C(1, -1)', 'C(1, 0)')",-0.34262670252538757,0.49465032770985584
"('C(1, -1)', 'C(1, 1)')",-0.44857505726591806,0.6697378546759442
"('C(1, -1)', 'C(1, 2)')",-0.5472765696176153,0.4836993194467752
"('C(1, -1)', 'C(1, 3)')",-0.602577091538522,0.619609454333889
"('C(1, -1)', 'C(2, -3)')",-0.42548417633085456,0.5363477771967295
"('C(1, -1)', 'C(2, -2)')",-0.39849739420671093,0.5302214498506149
"('C(1, -1)', 'C(2, -1)')",-0.28357566974563453,0.6551567320416193
"('C(1, -1)', 'C(2, 0)')",-0.25693434389377023,0.3994755957830969
"('C(1, -1)', 'C(2, 1)')",-0.7816574375013521,0.5336028817922217
"('C(1, -1)', 'C(2, 2)')",-0.8250943215490137,0.7319157764385005
"('C(1, -1)', 'C(2, 3)')",-0.4182846000831657,0.422397901425818
"('C(1, -1)', 'C(3, -3)')",-0.08846939107553209,0.3983471032555385
"('C(1, -1)', 'C(3, -2)')",-0.4112418435501122,0.5767470335347935
"('C(1, -1)', 'C(3, -1)')",-0.599010063235014,0.6356375996006246
"('C(1, -1)', 'C(3, 0)')",-0.7513045777105153,0.9718513418024892
"('C(1, -1)', 'C(3, 1)')",-0.7983446529588281,0.7636985353190902
"('C(1, -1)', 'C(3, 2)')",-0.5255666232318917,0.9195987994936708
"('C(1, -1)', 'C(3, 3)')",-0.8086501184110211,0.41415864139561476
"('C(1, -1)', 'C(4, -3)')",-0.3532009800873806,0.38340160390176087
"('C(1, -1)', 'C(4, -2)')",-0.4474403103560142,0.46549149593027683
"('C(1, -1)', 'C(4, -1)')",-0.8278162553604298,0.5331755895897684
"('C(1, -1)', 'C(4, 0)')",-0.36095090868567425,0.5247064165623782
"('C(1, -1)', 'C(4, 1)')",-0.4007783019212869,0.6376870222466667
"('C(1, -1)', 'C(4, 2)')",-0.295309278143098,0.41072747636606916
"('C(1, -1)', 'C(4, 3)')",-0.42653737946694215,0.596083275036908
"('C(1, 0)', 'C(1, 1)')",-0.3922922207705883,0.5309999161431032
"('C(1, 0)', 'C(1, 2)')",-0.1976480998531536,0.3328324111967912
"('C(1, 0)', 'C(1, 3)')",-0.097968990210338,0.38864805735937935
"('C(1, 0)', 'C(2, -3)')",-0.08981823206842778,0.4542188853698505
"('C(1, 0)', 'C(2, -2)')",-0.16974052635018924,0.4473320361890525
"('C(1, 0)', 'C(2, -1)')",-0.16057515942426787,0.4394256743723154
"('C(1, 0)', 'C(2, 0)')",-0.10608817365524861,0.2588590529529133
"('C(1, 0)', 'C(2, 1)')",-0.48034886780136743,0.42020814225374187
"('C(1, 0)', 'C(2, 2)')",-0.2993013885019817,0.629003513044787
"('C(1, 0)', 'C(2, 3)')",-0.12182993257803804,0.35967727242650566
"('C(1, 0)', 'C(3, -3)')",0.07830682345116036,0.4843542548344305
"('C(1, 0)', 'C(3, -2)')",-0.2605520951425475,0.2797145538091671
"('C(1, 0)', 'C(3, -1)')",-0.6554627425175235,0.4565881712097811
"('C(1, 0)', 'C(3, 0)')",-0.4561913849456621,1.0493269981389886
"('C(1, 0)', 'C(3, 1)')",-0.47874911507914125,0.5451355976284769
"('C(1, 0)', 'C(3, 2)')",-0.5361329703098706,0.6783167708212915
"('C(1, 0)', 'C(3, 3)')",-0.4031575673208626,0.46181198953268016
"('C(1, 0)', 'C(4, -3)')",-0.09781868893526331,0.5795418692839407
"('C(1, 0)', 'C(4, -2)')",-0.26578529320500927,0.37370722088282005
"('C(1, 0)', 'C(4, -1)')",-0.433227633813083,0.43578942014126354
"('C(1, 0)', 'C(4, 0)')",-0.15582581749373506,0.2820457693154815
"('C(1, 0)', 'C(4, 1)')",-0.12849818549931033,0.5280743405583448
"('C(1, 0)', 'C(4, 2)')",-0.1972734713376984,0.39035944477004375
"('C(1, 0)', 'C(4, 3)')",-0.24328632202586287,0.3684812538980189
"('C(1, 1)', 'C(1, 2)')",-0.04114762042522907,0.5473794237265116
"('C(1, 1)', 'C(1, 3)')",0.25244519774800067,0.9286148254869117
"('C(1, 1)', 'C(2, -3)')",0.42162341977262907,0.8618979512509723
"('C(1, 1)', 'C(2, -2)')",0.37222604830494593,1.0613945094201447
"('C(1, 1)', 'C(2, -1)')",-0.11118964668189346,0.5833566435443232
"('C(1, 1)', 'C(2, 0)')",0.20338625536178428,0.4938418974916649
"('C(1, 1)', 'C(2, 1)')",-0.2084758024778076,0.46600329313944105
"('C(1, 1)', 'C(2, 2)')",-0.23699039444259126,0.5647093869202354
"('C(1, 1)', 'C(2, 3)')",-0.11134027633400415,0.573625349827761
"('C(1, 1)', 'C(3, -3)')",0.27163814824301763,0.6598975051917986
"('C(1, 1)', 'C(3, -2)')",0.009173976346770016,0.6127496272154893
"('C(1, 1)', 'C(3, -1)')",-0.576623440979201,0.5794195603655121
"('C(1, 1)', 'C(3, 0)')",0.07195461539803721,0.5859592186968576
"('C(1, 1)', 'C(3, 1)')",-0.09813627551830001,0.6069103543046075
"('C(1, 1)', 'C(3, 2)')",0.05087383771243484,0.7281374382372633
"('C(1, 1)', 'C(3, 3)')",-0.42844082641012954,0.5545871693353427
"('C(1, 1)', 'C(4, -3)')",-0.019682541942057968,0.4893031868325432
"('C(1, 1)', 'C(4, -2)')",0.2600273913032215,0.7637610761673775
"('C(1, 1)', 'C(4, -1)')",-0.1142093376499077,1.1535583464374295
"('C(1, 1)', 'C(4, 0)')",0.04781857867576568,0.5412151623203137
"('C(1, 1)', 'C(4, 1)')",0.6416479647440281,1.5539823596538407
"('C(1, 1)', 'C(4, 2)')",0.2162173515021538,0.6157725138097548
"('C(1, 1)', 'C(4, 3)')",-0.22467609589207993,0.5664770984616526
"('C(1, 2)', 'C(1, 3)')",-0.2849765590444351,0.40747637865780373
"('C(1, 2)', 'C(2, -3)')",-0.26061800086262343,0.40053337603522876
"('C(1, 2)', 'C(2, -2)')",-0.26961625115298393,0.4396858351198504
"('C(1, 2)', 'C(2, -1)')",-0.15209490562377947,0.4605526222061155
"('C(1, 2)', 'C(2, 0)')",-0.15145711900360984,0.35083601483825955
"('C(1, 2)', 'C(2, 1)')",-0.6008319384123372,0.3521673773595814
"('C(1, 2)', 'C(2, 2)')",-0.5763095981684236,0.39519147896202644
"('C(1, 2)', 'C(2, 3)')",-0.13715211882582723,0.3115281225496957
"('C(1, 2)', 'C(3, -3)')",0.18407952702044683,0.3666338546761634
"('C(1, 2)', 'C(3, -2)')",-0.1267561719863579,0.3831670735337665
"('C(1, 2)', 'C(3, -1)')",-0.3166629958746895,0.4088478185092475
"('C(1, 2)', 'C(3, 0)')",-0.7412204703752924,1.2229082825042417
"('C(1, 2)', 'C(3, 1)')",-0.5268425356331214,0.4689779544812084
"('C(1, 2)', 'C(3, 2)')",-0.2772808110949203,0.7092558008609948
"('C(1, 2)', 'C(3, 3)')",-0.5634702786337749,0.481303506783851
"('C(1, 2)', 'C(4, -3)')",-0.0360160058911064,0.4478780265793505
"('C(1, 2)', 'C(4, -2)')",-0.1508670251079925,0.3495399384110297
"('C(1, 2)', 'C(4, -1)')",-0.5906205191265197,0.7396966703306157
"('C(1, 2)', 'C(4, 0)')",-0.07978050688250915,0.35326084005175107
"('C(1, 2)', 'C(4, 1)')",-0.20769689792292823,0.40919530576447843
"('C(1, 2)', 'C(4, 2)')",-0.07485356382004221,0.39104550606498356
"('C(1, 2)', 'C(4, 3)')",-0.14416451686661577,0.3737712318996832
"('C(1, 3)', 'C(2, -3)')",0.06463092880821476,0.525998954646744
"('C(1, 3)', 'C(2, -2)')",-0.013436568783698515,0.5864537258269488
"('C(1, 3)', 'C(2, -1)')",0.09541665907346164,0.6102148966009843
"('C(1, 3)', 'C(2, 0)')",0.10138335067401644,0.45606459001071026
"('C(1, 3)', 'C(2, 1)')",-0.11490320035417834,0.48824020468750784
"('C(1, 3)', 'C(2, 2)')",-0.25491711985419696,0.5812507003494551
"('C(1, 3)', 'C(2, 3)')",0.027628154579783556,0.4694500877809221
"('C(1, 3)', 'C(3, -3)')",0.46791686618682166,0.48029422119866105
"('C(1, 3)', 'C(3, -2)')",0.10208047777311133,0.4645655920283569
"('C(1, 3)', 'C(3, -1)')",-0.31841895227448447,0.4843968130229106
"('C(1, 3)', 'C(3, 0)')",-0.24176879213818808,0.9793233916953272
"('C(1, 3)', 'C(3, 1)')",-0.18249645462333353,0.7050030158167925
"('C(1, 3)', 'C(3, 2)')",0.019738115897286274,0.8703866812941036
"('C(1, 3)', 'C(3, 3)')",-0.19991062920500396,0.5987533422938665
"('C(1, 3)', 'C(4, -3)')",0.20598806607398193,0.5402130139321105
"('C(1, 3)', 'C(4, -2)')",0.12013983718503664,0.505625764746314
"('C(1, 3)', 'C(4, -1)')",-0.2714221069504491,0.7684989776975787
"('C(1, 3)', 'C(4, 0)')",0.1443307647870106,0.5114332170194682
"('C(1, 3)', 'C(4, 1)')",0.2715141378305875,0.6690740626570536
"('C(1, 3)', 'C(4, 2)')",0.18146705639842065,0.4269735636785088
"('C(1, 3)', 'C(4, 3)')",0.2038086324518995,0.5715784434580071
"('C(2, -3)', 'C(2, -2)')",0.053303383206053434,0.6834547725003249
"('C(2, -3)', 'C(2, -1)')",0.07958533139780244,0.6059532855923642
"('C(2, -3)', 'C(2, 0)')",0.25475986485947455,0.4051880079030677
"('C(2, -3)', 'C(2, 1)')",-0.542782219980028,0.6513372071706801
"('C(2, -3)', 'C(2, 2)')",-0.3950166538368919,0.6401188212688856
"('C(2, -3)', 'C(2, 3)')",0.13506554568759505,0.5390554763652584
"('C(2, -3)', 'C(3, -3)')",0.2549971580122067,0.435978997431569
"('C(2, -3)', 'C(3, -2)')",-0.17129576656765724,0.4268822648741673
